Date/Time,Step Count (steps),Active Energy (kcal),Resting Energy (kcal),Apple Exercise Time (min),Apple Stand Time (min),Walking + Running Distance (mi),Flights Climbed (count),VO2 Max (ml/(kg·min)),Sleep Analysis [Total] (hr),Sleep Analysis [Asleep] (hr),Sleep Analysis [In Bed] (hr),Sleep Analysis [Core] (hr),Sleep Analysis [Deep] (hr),Sleep Analysis [REM] (hr),Sleep Analysis [Awake] (hr),Resting Heart Rate (bpm),Heart Rate Variability (ms),Respiratory Rate (count/min),Blood Oxygen Saturation (%),Walking Heart Rate Average (bpm),Heart Rate [Avg] (bpm),Heart Rate [Min] (bpm),Heart Rate [Max] (bpm),Apple Sleeping Wrist Temperature (ºF),Alcohol Consumption (count),Dietary Energy (kcal),Protein (g)
2026-04-19,9346,801.4,2069,11,155,4.31,12,44.31,6.34,0,6.75,3.0,1.33,2.18,0.4,63,60.68,15.55,98.73,95,87.4,51,157,97.65,0,9999,999
2026-04-20,13512,1178.1,2063,52,172,6.07,13,44.75,7.39,0,7.89,4.37,1.06,1.96,0.5,63,68.53,14.76,96.51,92,85.8,51,146,97.46,0,9999,999
2026-04-21,8026,710.7,2037,0,178,3.59,11,44.64,6.5,0,6.96,3.68,0.74,2.08,0.46,60,72.42,15.22,95.67,101,83.0,47,147,97.87,0,9999,999
2026-04-22,9471,953.2,2040,56,75,4.2,6,44.45,7.36,0,7.67,4.9,0.91,1.54,0.31,61,65.7,15.54,96.91,99,78.6,49,180,97.55,0,9999,999
2026-04-23,5061,673.6,2141,4,121,2.42,8,44.97,7.07,0,7.55,4.06,0.97,2.03,0.49,63,55.21,14.72,97.16,85,83.4,53,134,97.71,0,9999,999
2026-04-24,15029,1025.7,2010,26,163,6.97,0,44.12,8.28,0,8.75,5.17,0.87,2.24,0.46,58,79.53,14.79,97.67,105,79.9,49,152,98.23,1,9999,999
2026-04-25,11801,1149.1,2061,40,171,5.07,7,44.28,7.89,0,8.27,4.92,1.41,1.56,0.38,59,80.75,15.29,97.52,94,80.5,48,178,97.77,4,9999,999
2026-04-26,7167,524.0,2031,13,125,2.84,9,44.11,7.74,0,8.01,4.77,1.0,1.97,0.26,61,61.26,14.77,97.34,99,79.6,49,154,97.17,0,9999,999
2026-04-27,10700,895.0,2015,38,158,4.7,11,44.76,7.48,0,7.99,4.38,0.87,2.23,0.51,66,59.02,16.58,97.7,106,86.3,58,144,97.88,0,9999,999
2026-04-28,7636,855.4,1977,7,149,3.69,4,44.56,7.42,0,8.32,4.1,1.03,2.29,0.9,62,59.84,14.7,97.62,99,79.0,52,160,97.32,0,9999,999
2026-04-29,7365,787.4,2098,60,151,3.14,10,45.03,7.92,0,8.22,3.99,1.23,2.7,0.31,59,57.18,15.47,96.99,91,75.7,46,167,97.47,0,9999,999
2026-04-30,7160,699.9,1959,0,181,2.88,7,43.91,7.84,0,8.34,4.84,1.2,1.8,0.5,61,77.66,15.54,97.26,98,81.2,49,155,97.16,0,9999,999
2026-05-01,12755,1063.3,2041,44,167,5.52,6,44.57,7.39,0,7.8,4.27,1.09,2.02,0.41,60,52.34,14.91,95.91,107,74.5,48,147,97.28,2,9999,999
2026-05-02,12769,1121.1,2050,51,163,5.58,5,44.62,7.56,0,8.04,5.09,0.93,1.53,0.48,61,58.24,15.68,97.28,96,82.7,55,173,97.79,0,9999,999
2026-05-03,7731,677.2,1972,0,160,3.52,3,43.97,8.36,0,8.78,5.77,0.74,1.85,0.42,59,68.38,15.94,96.52,98,75.8,50,155,97.73,0,9999,999
2026-05-04,8723,812.0,2037,40,159,4.41,21,44.77,6.89,0,7.34,3.13,1.36,2.4,0.45,65,41.62,15.57,97.58,96,80.3,53,183,96.91,0,9999,999
2026-05-05,8316,825.3,2079,15,130,3.71,7,44.35,,0,8.22,4.99,1.09,1.96,0.18,60,57.77,15.89,96.79,100,81.3,48,156,97.53,0,9999,999
2026-05-06,10671,907.8,2055,39,149,4.88,18,45.22,7.96,0,8.39,5.34,0.89,1.74,0.42,58,79.39,15.23,97.6,97,79.9,47,168,97.62,0,9999,999
2026-05-07,8911,689.4,1996,15,175,4.36,10,43.66,7.63,0,7.81,4.8,1.0,1.83,0.18,59,60.26,14.8,98.33,92,80.6,49,140,97.26,0,9999,999
2026-05-08,8526,935.5,1990,52,148,3.66,0,43.9,7.63,0,8.0,4.71,1.07,1.85,0.37,59,71.2,16.46,96.86,104,79.7,48,179,98.13,0,9999,999
2026-05-09,11057,995.7,2010,54,199,5.35,0,44.81,8.2,0,8.72,5.71,1.03,1.46,0.52,62,60.52,14.36,97.9,100,85.8,49,145,97.62,3,9999,999
2026-05-10,9331,887.3,2113,11,160,4.26,19,44.31,8.15,0,8.36,5.36,1.29,1.5,0.21,64,57.92,16.15,97.82,108,79.4,53,150,97.61,0,9999,999
2026-05-11,11380,941.9,2072,42,120,5.27,4,44.66,8.33,0,8.79,5.31,0.89,2.13,0.46,57,63.3,14.31,96.07,94,73.8,43,169,97.38,0,9999,999
2026-05-12,5802,593.4,1982,23,125,2.62,12,44.88,8.44,0,8.82,5.5,0.99,1.96,0.38,57,71.98,14.81,98.18,99,77.3,45,163,97.79,0,9999,999
2026-05-13,7458,907.9,2039,59,194,3.52,3,44.55,7.99,0,8.57,4.65,1.4,1.94,0.58,63,74.34,14.88,96.85,88,81.1,56,174,97.81,0,9999,999
2026-05-14,12276,938.2,2007,22,102,5.38,11,44.14,7.18,0,7.62,4.17,1.02,1.98,0.45,62,63.9,15.31,96.69,95,80.4,50,125,97.41,0,9999,999
2026-05-15,8907,963.8,2019,54,145,4.08,7,44.77,7.79,0,7.95,4.47,1.26,2.06,0.16,63,70.43,14.91,96.9,103,88.1,53,166,97.39,2,9999,999
2026-05-16,7968,853.9,2037,32,167,3.96,5,44.84,7.53,0,7.95,4.14,1.31,2.08,0.42,61,85.86,15.82,97.26,94,80.3,49,161,97.65,4,9999,999
2026-05-17,6565,604.6,2049,21,152,2.97,6,44.93,7.3,0,7.78,4.63,0.91,1.76,0.48,62,67.04,15.09,96.21,104,83.0,50,142,96.71,0,9999,999
2026-05-18,11185,736.2,1952,22,117,5.03,11,44.39,8.01,0,8.44,5.01,1.07,1.93,0.43,60,64.98,14.33,97.4,104,83.4,49,142,97.71,0,9999,999
2026-05-19,8142,652.3,2020,16,123,3.66,0,44.73,8.75,0,9.03,5.6,1.2,1.95,0.28,60,65.44,13.81,97.14,91,79.7,50,151,97.26,0,9999,999
2026-05-20,6882,895.9,2021,63,163,2.98,12,45.58,7.95,0,8.59,5.14,0.91,1.9,0.64,59,64.69,14.68,97.37,93,86.1,47,179,97.44,0,9999,999
2026-05-21,4271,568.5,2057,13,220,2.06,9,44.19,7.62,0,7.86,4.4,0.85,2.37,0.24,61,69.11,15.29,97.79,86,81.9,50,154,97.48,0,9999,999
2026-05-22,13244,1055.1,2039,36,190,5.91,6,44.43,,0,7.48,3.52,1.05,2.51,0.39,64,43.1,14.84,97.09,102,82.3,52,157,97.69,1,9999,999
2026-05-23,6939,833.4,2009,68,131,3.48,12,44.32,7.04,0,7.64,4.45,0.82,1.78,0.6,65,42.89,15.4,96.64,97,84.3,55,163,97.58,2,9999,999
2026-05-24,6353,520.4,2060,6,200,2.57,6,45.23,8.21,0,8.58,5.04,1.05,2.13,0.36,59,85.99,16.11,96.84,101,84.0,48,149,97.58,0,9999,999
2026-05-25,6743,829.0,2003,38,192,2.91,11,44.31,7.3,0,7.8,4.6,0.91,1.79,0.5,62,67.28,15.11,97.86,96,80.6,51,169,98.39,0,9999,999
2026-05-26,11175,759.2,1983,0,94,5.01,16,44.24,7.51,0,7.92,3.7,1.28,2.53,0.42,59,75.07,15.68,97.01,110,86.7,50,143,97.24,0,9999,999
2026-05-27,10604,930.7,2004,42,165,4.41,12,43.59,7.06,0,7.7,4.86,0.85,1.35,0.64,65,49.65,15.81,96.41,97,84.8,54,159,97.46,0,9999,999
2026-05-28,10399,875.3,1994,12,144,4.53,14,44.68,6.51,0,6.88,3.45,1.41,1.65,0.37,63,59.03,14.74,96.78,101,88.2,50,160,97.57,0,9999,999
2026-05-29,10631,941.4,2011,66,119,4.78,9,44.83,7.17,0,7.76,4.22,0.84,2.11,0.59,66,51.5,16.05,97.17,98,88.3,52,163,97.84,0,9999,999
2026-05-30,8758,894.7,2026,56,166,3.87,5,44.73,6.64,0,6.79,3.01,1.09,2.54,0.16,63,64.51,15.01,96.66,96,88.4,50,172,96.82,0,9999,999
2026-05-31,10742,847.8,2037,7,178,4.68,6,43.4,7.52,0,8.17,4.58,0.97,1.97,0.66,62,60.94,16.32,97.04,93,80.8,48,147,97.36,0,9999,999
2026-06-01,12458,1142.3,1999,53,183,5.39,10,45.02,7.44,0,7.96,4.58,1.21,1.65,0.52,61,56.48,15.38,98.25,103,86.6,52,161,97.34,0,9999,999
2026-06-02,9465,872.9,2033,35,191,4.32,7,44.7,7.13,0,7.47,4.75,0.91,1.48,0.33,63,55.34,16.34,96.8,94,81.1,53,165,97.76,0,9999,999
2026-06-03,11329,1027.9,2012,46,103,5.08,7,45.77,7.85,0,8.19,4.79,0.95,2.11,0.34,59,60.18,16.25,97.36,102,83.6,50,182,97.4,0,9999,999
2026-06-04,8611,755.9,2064,6,181,3.75,12,44.63,6.73,0,7.19,3.87,0.79,2.07,0.46,64,52.88,15.59,96.8,96,86.9,53,146,97.47,0,9999,999
2026-06-05,11123,961.2,1968,30,167,4.7,7,44.14,7.67,0,8.12,4.91,0.89,1.87,0.46,63,62.2,14.34,96.42,92,88.3,55,137,97.83,1,9999,999
2026-06-06,7348,855.5,2026,42,135,3.21,0,44.88,8.23,0,8.47,5.93,0.74,1.56,0.24,64,61.54,16.53,97.13,100,88.3,51,179,97.43,4,9999,999
2026-06-07,8454,745.4,2005,9,178,3.94,12,44.24,6.91,0,7.29,3.89,1.36,1.66,0.39,59,53.32,14.49,96.23,104,79.9,49,143,97.21,0,9999,999
2026-06-08,9969,870.6,2009,34,153,4.43,6,43.79,,0,7.42,3.97,1.04,2.04,0.37,62,58.54,14.33,97.37,95,81.5,53,150,97.58,0,9999,999
2026-06-09,9456,845.4,2017,23,138,4.33,11,45.44,7.18,0,7.92,4.87,0.89,1.42,0.74,67,47.98,15.12,96.91,96,88.9,55,159,97.16,0,9999,999
2026-06-10,11618,1045.8,2008,34,155,5.28,16,44.52,7.32,0,7.75,4.83,0.94,1.56,0.43,62,65.77,15.58,96.92,104,80.8,52,168,97.6,0,9999,999
2026-06-11,5317,570.2,2031,27,185,2.46,4,44.33,7.99,0,8.5,5.07,0.97,1.95,0.52,60,63.28,15.04,96.84,99,77.6,51,154,97.86,0,9999,999
2026-06-12,10006,1091.0,2043,56,194,4.51,16,45.31,7.74,0,8.22,5.05,0.95,1.73,0.49,60,67.26,14.85,97.58,100,82.3,52,160,97.0,2,9999,999
2026-06-13,8936,882.6,2030,53,143,4.14,14,44.02,6.91,0,7.59,4.27,1.06,1.58,0.68,61,66.78,15.41,96.3,105,80.5,49,176,97.33,2,9999,999
2026-06-14,6064,600.7,1997,30,124,2.7,9,44.32,8.0,0,8.55,5.05,1.22,1.73,0.55,61,46.48,14.97,97.98,97,86.0,50,167,98.08,0,9999,999
2026-06-15,8902,852.4,1993,20,138,4.43,3,45.19,6.72,0,7.2,3.99,0.77,1.97,0.47,61,57.67,16.65,97.87,103,81.5,52,158,97.34,0,9999,999
2026-06-16,6872,702.2,2046,19,167,2.94,0,44.46,7.08,0,7.36,4.31,0.99,1.78,0.28,66,43.44,14.91,96.24,100,91.9,55,147,97.58,0,9999,999
2026-06-17,11983,1183.6,2030,64,161,5.31,14,44.45,7.43,0,7.87,4.2,1.19,2.04,0.44,63,50.88,14.79,96.86,100,82.3,52,174,97.67,0,9999,999
2026-06-18,10955,873.8,2031,29,170,4.68,2,45.25,7.72,0,8.0,4.7,1.14,1.88,0.29,65,72.3,15.06,95.81,95,84.6,53,155,97.08,0,9999,999
2026-06-19,11799,1033.9,1971,34,187,5.31,14,44.63,7.58,0,7.88,4.36,1.15,2.06,0.3,63,53.49,15.1,96.76,96,85.6,52,154,97.96,0,9999,999
2026-06-20,10377,1127.2,2060,63,131,4.85,1,45.21,7.66,0,8.14,5.4,0.85,1.41,0.48,64,62.9,14.27,97.09,87,82.5,52,166,97.89,3,9999,999
2026-06-21,9115,736.6,1998,5,180,3.86,9,44.88,8.34,0,8.7,5.77,1.07,1.5,0.36,59,76.94,15.75,96.66,101,74.6,45,144,97.77,0,9999,999
2026-06-22,13102,1164.5,1985,58,193,5.61,5,44.94,8.21,0,8.43,4.4,1.44,2.37,0.22,59,65.48,15.77,97.25,103,76.9,49,166,97.73,0,9999,999
2026-06-23,8748,725.0,2022,35,134,3.95,5,44.67,7.02,0,7.33,3.91,1.2,1.91,0.32,65,59.23,14.44,97.98,100,87.1,55,143,97.5,0,9999,999
2026-06-24,7742,862.9,2021,53,117,3.48,0,45.12,7.96,0,8.33,5.14,1.3,1.52,0.37,67,40.1,15.56,97.55,99,86.1,56,159,97.71,0,9999,999
2026-06-25,2800,638.0,2010,27,159,0.95,10,44.55,,0,8.81,5.71,1.06,1.66,0.39,59,78.24,14.94,97.94,105,76.9,50,148,97.59,0,9999,999
2026-06-26,7306,851.1,1960,48,96,3.33,2,45.08,7.94,0,8.54,4.97,1.05,1.92,0.59,57,68.28,14.31,96.89,97,81.0,45,155,98.01,2,9999,999
2026-06-27,9639,1053.1,2023,36,137,4.31,17,44.98,7.71,0,7.9,4.49,1.31,1.91,0.19,62,60.32,15.3,97.57,104,86.3,52,167,97.21,0,9999,999
2026-06-28,6777,775.6,1993,21,149,3.14,7,45.42,7.54,0,7.83,4.78,0.78,1.98,0.28,58,63.68,15.53,95.99,107,82.0,46,156,98.18,0,9999,999
2026-06-29,11886,1051.7,1993,69,129,5.52,5,45.08,8.14,0,8.65,5.29,1.14,1.71,0.5,62,65.06,14.33,97.61,102,84.2,47,167,98.49,0,9999,999
2026-06-30,9411,915.5,1964,33,95,4.32,4,45.03,8.04,0,8.35,5.5,0.94,1.61,0.31,59,78.31,14.48,96.3,97,86.9,43,174,97.91,0,9999,999
2026-07-01,7478,960.5,2019,63,186,3.03,0,43.91,8.04,0,8.49,4.97,1.05,2.03,0.45,59,71.27,14.2,97.29,97,78.8,44,163,98.25,0,9999,999
2026-07-02,11214,966.8,1970,33,153,5.09,14,44.92,7.54,0,7.92,4.38,1.24,1.92,0.38,61,55.96,14.52,96.88,91,78.2,49,154,97.35,0,9999,999
2026-07-03,11080,1271.4,2040,67,161,4.96,4,45.12,8.07,0,8.85,5.42,0.85,1.8,0.78,61,70.92,14.54,97.76,94,82.1,50,178,97.29,1,9999,999
2026-07-04,9195,954.8,2014,72,216,4.07,11,45.57,7.89,0,8.3,5.08,1.05,1.75,0.41,62,54.51,15.81,97.45,98,79.2,48,171,97.82,2,9999,999
2026-07-05,5827,733.4,1988,17,158,2.69,1,44.35,8.79,0,9.33,6.09,1.18,1.53,0.54,56,87.38,15.25,96.87,94,79.7,44,151,98.14,0,9999,999
2026-07-06,13321,1265.5,2014,71,148,5.99,3,45.19,7.58,0,8.01,3.61,1.33,2.64,0.44,57,71.61,14.3,96.26,100,86.2,45,170,97.43,0,9999,999
